39880 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39881 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39882 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39883 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39884 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39885 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39886 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39887 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39888 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39889 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39890 2020-05-18 20:19:10 [4D.APPL] INFO - DELAY PROCESS()
39891 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39892 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39893 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39894 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39895 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39896 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39897 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39898 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39899 2020-05-18 20:19:11 [4D.APPL] INFO - DELAY PROCESS()
39900 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39901 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39902 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39903 2020-05-18 20:19:12 [4D.APPL] INFO - link_manager.scan()
39904 2020-05-18 20:19:12 [4D.APPL] INFO - link_manager.scan()
39905 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39906 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39907 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39908 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39909 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39910 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39911 2020-05-18 20:19:12 [4D.APPL] INFO - DELAY PROCESS()
39912 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39913 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39914 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39915 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39916 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39917 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39918 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39919 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39920 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39921 2020-05-18 20:19:13 [4D.APPL] INFO - DELAY PROCESS()
39922 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39923 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39924 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39925 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39926 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39927 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39928 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39929 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39930 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39931 2020-05-18 20:19:14 [4D.APPL] INFO - DELAY PROCESS()
39932 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39933 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39934 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39935 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39936 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
39937 2020-05-18 20:19:15 [4D.APPL] INFO - DELAY PROCESS()
